time,leftDrive,rightDrive,armPresetID,shoulderOffset,wristOffset,claw,pump,led,limelight,balance
0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
3500,-90,-90,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,1
12000,30,-30,0,0,0,0,0,0,0,0
