time,leftDrive,rightDrive,armPresetID,shoulderOffset,wristOffset,claw,pump,led,limelight,balance
0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0
3500,-230,-230,0,0,0,0,0,0,0,0
7000,60,-60,0,0,0,0,0,0,0,0
