time,leftDrive,rightDrive,armPresetID,shoulderOffset,wristOffset,claw,pump,led,limelight,balance
0,0,0,0,0,0,0,0,0,0,0
2500,-60,-60,0,0,0,0,0,0,0,0
15000,0,0,0,0,0,0,0,0,0,1
